method,displayname,mistralprr,mistralaccseventy,mistralacceighty,mistralaccninety,qwenprr,qwenaccseventy,qwenacceighty,qwenaccninety,llamaprr,llamaaccseventy,llamaacceighty,llamaaccninety,qwenLprr,qwenLaccseventy,qwenLacceighty,qwenLaccninety
entropy,Entropy,0.159,0.505,0.492,0.481,0.834,0.671,0.608,0.548,0.653,0.529,0.471,0.430,0.845,0.805,0.746,0.689
topk,Top-k,0.194,0.505,0.492,0.485,0.601,0.605,0.567,0.537,0.481,0.505,0.458,0.430,0.624,0.786,0.742,0.681
msp,MSP,0.513,0.548,0.512,0.496,0.228,0.552,0.546,0.519,0.302,0.462,0.438,0.415,0.508,0.733,0.688,0.652
hlcc_norm_shift,NormShift,0.999,0.667,0.583,0.519,0.211,0.571,0.558,0.519,0.613,0.514,0.471,0.433,---,---,---,---
