dataset,type,nsacc,nsece,nsbrier,nshlcc,nsauroc,nsauprc,nsprr,mspacc,mspece,msphlcc,mspauroc,entacc,entece,enthlcc,entauroc,deltaauroc,retrycount,retryrescues,retrydamage,retrynet,nexamples
arc-easy,in-domain,0.853,0.253,0.248,1.337,0.716,0.939,1.098,0.960,0.016,1.846,0.887,0.960,0.049,1.827,0.887,-0.171,64,0,16,-16,150
truthfulqa,in-domain,0.447,0.240,0.282,0.358,0.706,0.617,1.740,0.487,0.277,0.304,0.620,0.487,0.196,0.416,0.578,0.086,72,3,9,-6,150
arc-challenge,in-domain,0.793,0.279,0.284,1.152,0.636,0.864,1.191,0.840,0.092,1.438,0.892,0.840,0.070,1.470,0.896,-0.256,71,2,9,-7,150
commonsenseqa,OOD,0.733,0.240,0.261,1.019,0.625,0.800,1.276,0.807,0.144,1.297,0.797,0.807,0.103,1.331,0.808,-0.172,76,2,13,-11,150
openbookqa,OOD,0.667,0.206,0.262,0.865,0.641,0.753,1.362,0.840,0.093,1.437,0.812,0.840,0.053,1.445,0.811,-0.171,75,0,26,-26,150
sciq,OOD,0.847,0.324,0.308,1.214,0.523,0.861,1.174,0.920,0.078,1.686,0.832,0.920,0.050,1.683,0.833,-0.309,89,1,12,-11,150
hellaswag,OOD,0.567,0.363,0.395,0.402,0.410,0.538,1.914,0.627,0.212,0.735,0.742,0.627,0.111,0.823,0.738,-0.332,82,5,14,-9,150
mmlu,OOD,0.493,0.291,0.342,0.390,0.568,0.578,1.900,0.567,0.197,0.597,0.718,0.567,0.083,0.729,0.731,-0.150,82,2,13,-11,150
