method,displayname,mistralece,mistralbrier,qwenece,qwenbrier,llamaece,llamabrier,qwenLece,qwenLbrier,deepseekece,deepseekbrier
entropy,Entropy,0.389,0.393,0.449,0.425,0.524,0.491,0.322,0.311,0.373,0.364
topk,Top-k,0.428,0.422,0.476,0.465,0.569,0.548,0.352,0.342,0.383,0.374
msp,MSP,0.353,0.352,0.277,0.310,0.295,0.312,0.240,0.263,0.234,0.302
verbalized,Verbalized,0.502,0.516,0.311,0.404,0.421,0.565,0.229,0.298,0.347,0.371
self_consistency,Self-consistency,0.422,0.410,0.269,0.268,0.242,0.279,0.178,0.180,0.013,0.012
temperature_scaling,Temp.\ scaling,0.515,0.510,0.487,0.487,0.566,0.558,0.366,0.361,0.477,0.480
hlcc_norm_shift,NormShift,0.030,0.025,0.305,0.339,0.235,0.253,0.183,0.201,0.112,0.113
