method,displayname,category,accuracy,meanconf,calgap,ece,brier,hlcc,auroc,auprc,prr,accatseventy,accateighty,accatninety,nexamples
entropy,Entropy,logit,0.620,0.942,0.322,0.322,0.311,0.600,0.901,0.932,0.845,0.805,0.746,0.689,300
topk,Top-k,logit,0.620,0.972,0.352,0.352,0.342,0.549,0.799,0.838,0.624,0.786,0.742,0.681,300
msp,MSP,logit,0.620,0.860,0.240,0.240,0.263,0.694,0.719,0.796,0.508,0.733,0.688,0.652,300
gnll,GNLL,logit,0.620,0.860,0.240,0.240,0.263,0.694,0.719,0.796,0.508,0.733,0.688,0.652,300
verbalized,Verbalized,generation,0.620,0.570,0.050,0.229,0.298,0.731,0.604,0.707,0.264,0.667,0.642,0.637,300
self_consistency,Self-consistency,generation,0.740,0.916,0.176,0.178,0.180,1.113,0.747,0.859,0.490,0.862,0.846,0.796,300
temperature_scaling,Temp.\ scaling,posthoc,0.620,0.986,0.366,0.366,0.361,0.516,0.669,0.762,0.420,0.733,0.675,0.641,300
isotonic,Isotonic,posthoc,0.620,0.620,0.000,0.000,0.112,1.007,0.910,0.941,0.867,0.810,0.750,0.689,300
platt,Platt,posthoc,0.620,0.620,0.000,0.057,0.122,0.984,0.901,0.932,0.845,0.805,0.746,0.689,300
hlcc_norm_shift,NormShift,learned,0.620,0.786,0.166,0.183,0.201,0.840,0.786,0.811,0.558,0.786,0.733,0.674,300
semantic_entropy,Semantic entropy,generation,0.747,0.889,0.142,0.171,0.177,1.140,0.740,0.876,0.542,0.871,0.829,0.778,300
cot_confidence,CoT confidence,generation,0.767,0.879,0.112,0.189,0.197,1.114,0.689,0.875,0.486,0.848,0.792,0.767,300
lvu,LVU,generation,0.620,0.358,0.262,0.262,0.328,0.736,0.531,0.667,0.137,0.629,0.625,0.619,300
cocoa,CoCoA,generation,0.740,0.923,0.183,0.183,0.188,1.082,0.846,0.936,0.773,0.881,0.846,0.793,300
