dataset,type,nsacc,nsece,nsbrier,nshlcc,nsauroc,nsauprc,nsprr,mspacc,mspece,msphlcc,mspauroc,entacc,entece,enthlcc,entauroc,deltaauroc,retrycount,retryrescues,retrydamage,retrynet,nexamples
arc-easy,in-domain,0.900,0.029,0.025,1.751,0.930,0.991,1.016,0.900,0.063,1.651,0.897,0.900,0.056,1.659,0.902,0.033,13,0,0,0,150
truthfulqa,in-domain,0.620,0.083,0.081,1.125,0.978,0.987,1.027,0.453,0.375,0.186,0.763,0.453,0.277,0.343,0.750,0.215,78,25,0,25,150
arc-challenge,in-domain,0.760,0.112,0.112,1.321,0.919,0.969,1.052,0.747,0.179,1.091,0.793,0.747,0.120,1.137,0.789,0.126,28,3,1,2,150
commonsenseqa,OOD,0.687,0.261,0.261,0.926,0.713,0.804,1.265,0.693,0.216,0.919,0.764,0.693,0.143,0.980,0.759,-0.051,33,2,3,-1,150
openbookqa,OOD,0.747,0.261,0.261,1.013,0.644,0.836,1.245,0.740,0.173,1.070,0.740,0.740,0.125,1.115,0.744,-0.096,18,1,0,1,150
sciq,OOD,0.860,0.129,0.128,1.479,0.801,0.953,1.064,0.873,0.101,1.534,0.834,0.873,0.065,1.544,0.834,-0.033,8,0,2,-2,150
hellaswag,OOD,0.560,0.471,0.470,0.312,0.493,0.570,1.807,0.573,0.226,0.541,0.641,0.573,0.162,0.647,0.641,-0.148,40,0,2,-2,150
mmlu,OOD,0.413,0.350,0.343,0.332,0.649,0.546,2.014,0.413,0.240,0.225,0.638,0.413,0.199,0.397,0.648,0.011,95,3,3,0,150
