dataset,type,nsacc,nsece,nsbrier,nshlcc,nsauroc,nsauprc,nsprr,mspacc,mspece,msphlcc,mspauroc,entacc,entece,enthlcc,entauroc,deltaauroc,retrycount,retryrescues,retrydamage,retrynet,nexamples
arc-easy,in-domain,0.993,0.518,0.415,1.454,0.282,0.992,1.010,0.993,0.011,1.972,1.000,0.993,0.014,1.964,1.000,-0.718,78,0,0,0,150
truthfulqa,in-domain,0.593,0.277,0.267,0.647,0.763,0.811,1.329,0.593,0.279,0.598,0.726,0.593,0.216,0.676,0.715,0.037,20,1,1,0,150
arc-challenge,in-domain,0.907,0.478,0.410,1.301,0.737,0.963,1.054,0.933,0.044,1.748,0.839,0.933,0.043,1.735,0.835,-0.102,83,1,5,-4,150
commonsenseqa,OOD,0.867,0.671,0.609,1.040,0.564,0.899,1.135,0.873,0.071,1.553,0.861,0.873,0.067,1.561,0.862,-0.297,121,3,4,-1,150
openbookqa,OOD,0.920,0.421,0.351,1.367,0.684,0.963,1.055,0.927,0.058,1.720,0.878,0.927,0.076,1.728,0.886,-0.194,71,0,1,-1,150
sciq,OOD,0.953,0.594,0.476,1.307,0.777,0.987,1.022,0.960,0.040,1.839,0.909,0.960,0.026,1.840,0.910,-0.131,102,0,1,-1,150
hellaswag,OOD,0.753,0.401,0.380,0.992,0.626,0.831,1.247,0.753,0.174,1.084,0.724,0.753,0.155,1.109,0.722,-0.098,89,2,2,0,150
mmlu,OOD,0.520,0.389,0.409,0.548,0.551,0.543,1.839,0.553,0.303,0.492,0.767,0.553,0.192,0.636,0.773,-0.216,144,7,12,-5,150
