dataset,type,nsacc,nsece,nsbrier,nshlcc,nsauroc,nsauprc,nsprr,mspacc,mspece,msphlcc,mspauroc,entacc,entece,enthlcc,entauroc,deltaauroc,retrycount,retryrescues,retrydamage,retrynet,nexamples
arc-easy,in-domain,0.973,0.020,0.020,1.904,0.779,0.990,1.012,0.973,0.029,1.878,0.949,0.973,0.083,1.828,0.949,-0.170,1,0,0,0,150
truthfulqa,in-domain,0.467,0.105,0.101,0.775,0.963,0.946,1.087,0.467,0.266,0.282,0.641,0.467,0.200,0.416,0.613,0.322,80,0,0,0,150
arc-challenge,in-domain,0.880,0.103,0.098,1.576,0.659,0.911,1.093,0.873,0.044,1.553,0.872,0.873,0.106,1.520,0.869,-0.213,8,1,0,1,150
commonsenseqa,OOD,0.793,0.489,0.477,1.044,0.661,0.839,1.178,0.793,0.053,1.294,0.819,0.793,0.074,1.284,0.806,-0.158,93,1,1,0,150
openbookqa,OOD,0.833,0.204,0.192,1.352,0.687,0.912,1.124,0.840,0.039,1.439,0.838,0.840,0.149,1.400,0.837,-0.151,25,0,1,-1,150
sciq,OOD,0.953,0.073,0.069,1.803,0.818,0.981,1.018,0.953,0.027,1.820,0.927,0.953,0.076,1.779,0.922,-0.109,11,0,0,0,150
hellaswag,OOD,0.580,0.458,0.456,0.629,0.622,0.691,1.554,0.607,0.078,0.796,0.790,0.607,0.224,0.824,0.783,-0.168,118,1,5,-4,150
mmlu,OOD,0.573,0.352,0.355,0.682,0.664,0.716,1.505,0.580,0.202,0.650,0.751,0.580,0.086,0.769,0.750,-0.087,89,0,1,-1,150
